"Carrieres sur Seine","Martigues",803403,26565
"Carrieres sur Seine","Saint-Thomas - le Havre 1",188768,7287
"Carrieres sur Seine","Rennes Paul Bert 2",346161,12436
"Carrieres sur Seine","Loures-Barousse",793521,26287
"Carrieres sur Seine","Betton",351724,12487
"Carrieres sur Seine","Blois",194426,7761
"Carrieres sur Seine","Beauvais",78521,3749
"Carrieres sur Seine","U.S.B. Bordeaux Echecs",593441,20092
"Martigues","Saint-Thomas - le Havre 1",957971,31725
"Martigues","Rennes Paul Bert 2",1037238,33464
"Martigues","Loures-Barousse",469579,15676
"Martigues","Betton",1042801,33515
"Martigues","Blois",743730,25426
"Martigues","Beauvais",851841,29234
"Martigues","U.S.B. Bordeaux Echecs",607728,20287
"Saint-Thomas - le Havre 1","Rennes Paul Bert 2",280479,10037
"Saint-Thomas - le Havre 1","Loures-Barousse",955983,30795
"Saint-Thomas - le Havre 1","Betton",272228,9694
"Saint-Thomas - le Havre 1","Blois",351799,12832
"Saint-Thomas - le Havre 1","Beauvais",171434,7693
"Saint-Thomas - le Havre 1","U.S.B. Bordeaux Echecs",653302,22318
"Rennes Paul Bert 2","Loures-Barousse",765387,24450
"Rennes Paul Bert 2","Betton",10600,1215
"Rennes Paul Bert 2","Blois",295955,9938
"Rennes Paul Bert 2","Beauvais",388415,15337
"Rennes Paul Bert 2","U.S.B. Bordeaux Echecs",462705,15973
"Loures-Barousse","Betton",776507,24713
"Loures-Barousse","Blois",627989,22020
"Loures-Barousse","Beauvais",873821,29089
"Loures-Barousse","U.S.B. Bordeaux Echecs",311931,10462
"Betton","Blois",301755,10090
"Betton","Beauvais",384782,15166
"Betton","U.S.B. Bordeaux Echecs",475056,16189
"Blois","Beauvais",273432,10573
"Blois","U.S.B. Bordeaux Echecs",413612,13909
"Beauvais","U.S.B. Bordeaux Echecs",670855,22705
"Issy-Les-Moulineaux 4","Mont-De-Marsan",712040,22934
"Issy-Les-Moulineaux 4","Maisons-Laffitte",25183,2601
"Issy-Les-Moulineaux 4","Brest Usam 2",590264,19956
"Issy-Les-Moulineaux 4","Niort",411001,13698
"Issy-Les-Moulineaux 4","Beziers",755536,24293
"Issy-Les-Moulineaux 4","Colomiers 2",682511,22112
"Issy-Les-Moulineaux 4","Le Vesinet 2",20577,1728
"Mont-De-Marsan","Maisons-Laffitte",727726,24134
"Mont-De-Marsan","Brest Usam 2",772989,25641
"Mont-De-Marsan","Niort",314693,10752
"Mont-De-Marsan","Beziers",404819,14367
"Mont-De-Marsan","Colomiers 2",167237,8184
"Mont-De-Marsan","Le Vesinet 2",718574,23327
"Maisons-Laffitte","Brest Usam 2",592331,20556
"Maisons-Laffitte","Niort",416524,14974
"Maisons-Laffitte","Beziers",761058,25570
"Maisons-Laffitte","Colomiers 2",688033,23389
"Maisons-Laffitte","Le Vesinet 2",10664,1201
"Brest Usam 2","Niort",439367,15451
"Brest Usam 2","Beziers",1060393,34180
"Brest Usam 2","Colomiers 2",886572,28539
"Brest Usam 2","Le Vesinet 2",597214,20395
"Niort","Beziers",603179,19421
"Niort","Colomiers 2",429358,13780
"Niort","Le Vesinet 2",418069,14151
"Beziers","Colomiers 2",193371,6694
"Beziers","Le Vesinet 2",761882,24724
"Colomiers 2","Le Vesinet 2",689767,22499
"Guingamp 2","Cote Basque - Bayonne",774664,25391
"Guingamp 2","Vitrolles 2",1160543,36875
"Guingamp 2","Equeurdreville",316064,11849
"Guingamp 2","Auch",775037,26904
"Guingamp 2","Mantes en Yvelines",443951,14947
"Guingamp 2","Gorges Clisson",263557,9921
"Guingamp 2","Le Cannet",1310887,41565
"Guingamp 2","Couzeix Chess Club",530284,21550
"Cote Basque - Bayonne","Vitrolles 2",674449,21556
"Cote Basque - Bayonne","Equeurdreville",879672,28953
"Cote Basque - Bayonne","Auch",202151,8792
"Cote Basque - Bayonne","Mantes en Yvelines",807830,25579
"Cote Basque - Bayonne","Gorges Clisson",516821,16588
"Cote Basque - Bayonne","Le Cannet",824793,26246
"Cote Basque - Bayonne","Couzeix Chess Club",407210,14497
"Vitrolles 2","Equeurdreville",1107353,35926
"Vitrolles 2","Auch",468541,16059
"Vitrolles 2","Mantes en Yvelines",804351,25620
"Vitrolles 2","Gorges Clisson",950632,29948
"Vitrolles 2","Le Cannet",180731,6204
"Vitrolles 2","Couzeix Chess Club",675695,21929
"Equeurdreville","Auch",881268,30562
"Equeurdreville","Mantes en Yvelines",306868,10865
"Equeurdreville","Gorges Clisson",369788,13579
"Equeurdreville","Le Cannet",1258277,41057
"Equeurdreville","Couzeix Chess Club",595899,21924
"Auch","Mantes en Yvelines",762249,25816
"Auch","Gorges Clisson",520338,18220
"Auch","Le Cannet",620399,21030
"Auch","Couzeix Chess Club",339455,12632
"Mantes en Yvelines","Gorges Clisson",422097,14137
"Mantes en Yvelines","Le Cannet",955292,30653
"Mantes en Yvelines","Couzeix Chess Club",419012,14057
"Gorges Clisson","Le Cannet",1103684,34957
"Gorges Clisson","Couzeix Chess Club",277703,12787
"Le Cannet","Couzeix Chess Club",826231,26863
"Montpellier 3","Carcassonne 2",154200,5507
"Montpellier 3","Echiquier Marseillais 1872",166996,6392
"Montpellier 3","Caen Alekhine 1",926023,29661
"Montpellier 3","Gap",297452,10589
"Montpellier 3","Louviers",838984,27460
"Montpellier 3","Tours 2",663921,21893
"Montpellier 3","Poitiers-Migne Echecs 2",736326,22731
"Montpellier 3","Canohes",165107,5586
"Montpellier 3","Limoges 2",536034,17368
"Carcassonne 2","Echiquier Marseillais 1872",314384,11181
"Carcassonne 2","Caen Alekhine 1",936290,29182
"Carcassonne 2","Gap",444840,15378
"Carcassonne 2","Louviers",856965,27758
"Carcassonne 2","Tours 2",674188,21414
"Carcassonne 2","Poitiers-Migne Echecs 2",584464,18231
"Carcassonne 2","Canohes",121223,4347
"Carcassonne 2","Limoges 2",384172,12868
"Echiquier Marseillais 1872","Caen Alekhine 1",1005955,32108
"Echiquier Marseillais 1872","Gap",179525,6642
"Echiquier Marseillais 1872","Louviers",874698,28297
"Echiquier Marseillais 1872","Tours 2",796204,25714
"Echiquier Marseillais 1872","Poitiers-Migne Echecs 2",784379,27519
"Echiquier Marseillais 1872","Canohes",325116,11118
"Echiquier Marseillais 1872","Limoges 2",696043,22900
"Caen Alekhine 1","Gap",923674,31629
"Caen Alekhine 1","Louviers",135291,4621
"Caen Alekhine 1","Tours 2",264403,8954
"Caen Alekhine 1","Poitiers-Migne Echecs 2",359790,11680
"Caen Alekhine 1","Canohes",1029806,32267
"Caen Alekhine 1","Limoges 2",494955,17814
"Gap","Louviers",773124,27487
"Gap","Tours 2",691178,25601
"Gap","Poitiers-Migne Echecs 2",679353,27406
"Gap","Canohes",456280,15518
"Gap","Limoges 2",619749,23397
"Louviers","Tours 2",317370,10335
"Louviers","Poitiers-Migne Echecs 2",412757,13061
"Louviers","Canohes",904956,29980
"Louviers","Limoges 2",443436,15946
"Tours 2","Poitiers-Migne Echecs 2",97345,3734
"Tours 2","Canohes",767361,24321
"Tours 2","Limoges 2",232510,9868
"Poitiers-Migne Echecs 2","Canohes",703309,21686
"Poitiers-Migne Echecs 2","Limoges 2",140782,6569
"Canohes","Limoges 2",504397,16256
"Frejus","Dieppe",1060984,34184
"Frejus","Orbec",1059485,33569
"Frejus","Cagnes sur Mer",53970,2590
"Frejus","Marseille Echecs 2",145357,5139
"Frejus","Montpellier - Ech du Dragon",259710,9088
"Frejus","Dinard",1214468,38345
"Frejus","Albi",461336,18155
"Frejus","Caen Alekhine 2",1101536,34748
"Dieppe","Orbec",146457,5742
"Dieppe","Cagnes sur Mer",1109307,36348
"Dieppe","Marseille Echecs 2",963635,31759
"Dieppe","Montpellier - Ech du Dragon",922746,30855
"Dieppe","Dinard",357384,12795
"Dieppe","Albi",864502,29517
"Dieppe","Caen Alekhine 2",185879,6853
"Orbec","Cagnes sur Mer",1108385,35700
"Orbec","Marseille Echecs 2",962713,31111
"Orbec","Montpellier - Ech du Dragon",897892,28449
"Orbec","Dinard",246149,9768
"Orbec","Albi",773324,26700
"Orbec","Caen Alekhine 2",74449,3925
"Cagnes sur Mer","Marseille Echecs 2",193741,6911
"Cagnes sur Mer","Montpellier - Ech du Dragon",308094,10859
"Cagnes sur Mer","Dinard",1262852,40116
"Cagnes sur Mer","Albi",509720,19926
"Cagnes sur Mer","Caen Alekhine 2",1149920,36519
"Marseille Echecs 2","Montpellier - Ech du Dragon",163517,6430
"Marseille Echecs 2","Dinard",1118275,35687
"Marseille Echecs 2","Albi",365143,15497
"Marseille Echecs 2","Caen Alekhine 2",1005343,32090
"Montpellier - Ech du Dragon","Dinard",991020,31933
"Montpellier - Ech du Dragon","Albi",204258,9757
"Montpellier - Ech du Dragon","Caen Alekhine 2",930439,29710
"Dinard","Albi",838619,27039
"Dinard","Caen Alekhine 2",174639,6347
"Albi","Caen Alekhine 2",787977,27847
"Saint-Thomas - le Havre 2","Toulouse Lardenne",849280,28169
"Saint-Thomas - le Havre 2","Rois et Dames des 3 Cites - Poitiers",407721,14914
"Saint-Thomas - le Havre 2","Monaco 2",1143658,38082
"Saint-Thomas - le Havre 2","Getigne",394926,14316
"Saint-Thomas - le Havre 2","Domloup 2",282565,9855
"Saint-Thomas - le Havre 2","Drancy 3",204383,7831
"Saint-Thomas - le Havre 2","Bihorel",94454,4144
"Saint-Thomas - le Havre 2","Arradon",392550,13819
"Toulouse Lardenne","Rois et Dames des 3 Cites - Poitiers",490475,15801
"Toulouse Lardenne","Monaco 2",587177,20142
"Toulouse Lardenne","Getigne",570215,18059
"Toulouse Lardenne","Domloup 2",704443,22582
"Toulouse Lardenne","Drancy 3",691291,22632
"Toulouse Lardenne","Bihorel",797889,26085
"Toulouse Lardenne","Arradon",705185,22397
"Rois et Dames des 3 Cites - Poitiers","Monaco 2",956127,33849
"Rois et Dames des 3 Cites - Poitiers","Getigne",155129,7372
"Rois et Dames des 3 Cites - Poitiers","Domloup 2",344441,11446
"Rois et Dames des 3 Cites - Poitiers","Drancy 3",349500,12306
"Rois et Dames des 3 Cites - Poitiers","Bihorel",410457,13956
"Rois et Dames des 3 Cites - Poitiers","Arradon",335615,11593
"Monaco 2","Getigne",1149404,37012
"Monaco 2","Domloup 2",1218717,38819
"Monaco 2","Drancy 3",966060,31637
"Monaco 2","Bihorel",1082940,35545
"Monaco 2","Arradon",1281901,41185
"Getigne","Domloup 2",146422,5970
"Getigne","Drancy 3",406376,13849
"Getigne","Bihorel",399437,13540
"Getigne","Arradon",152568,6003
"Domloup 2","Drancy 3",352777,11806
"Domloup 2","Bihorel",317513,10939
"Domloup 2","Arradon",132868,5353
"Drancy 3","Bihorel",141817,5762
"Drancy 3","Arradon",478252,16475
"Bihorel","Arradon",428484,14798
"Montreuil 2","Grasse 2",916612,29537
"Montreuil 2","Monteux",693732,22675
"Montreuil 2","Agneaux Saint-Lo 2",319901,11382
"Montreuil 2","Enghien-Les-Bains",21418,1940
"Montreuil 2","Avignon",689956,22499
"Montreuil 2","Bayonne Adour",769824,24792
"Montreuil 2","Pau Henri IV 2",794496,25386
"Montreuil 2","C.E. Nantes",384361,13071
"Montreuil 2","Bordeaux A.S.P.O.M.",588883,19078
"Grasse 2","Monteux",246595,8264
"Grasse 2","Agneaux Saint-Lo 2",1220712,38663
"Grasse 2","Enghien-Les-Bains",932614,30670
"Grasse 2","Avignon",242819,8088
"Grasse 2","Bayonne Adour",833032,26552
"Grasse 2","Pau Henri IV 2",731775,23656
"Grasse 2","C.E. Nantes",1125817,35467
"Grasse 2","Bordeaux A.S.P.O.M.",783804,24944
"Monteux","Agneaux Saint-Lo 2",989134,32029
"Monteux","Enghien-Les-Bains",701036,24036
"Monteux","Avignon",21521,1209
"Monteux","Bayonne Adour",640690,21016
"Monteux","Pau Henri IV 2",539433,18120
"Monteux","C.E. Nantes",902113,29206
"Monteux","Bordeaux A.S.P.O.M.",591462,19408
"Agneaux Saint-Lo 2","Enghien-Les-Bains",310572,10809
"Agneaux Saint-Lo 2","Avignon",991718,31935
"Agneaux Saint-Lo 2","Bayonne Adour",799064,25752
"Agneaux Saint-Lo 2","Pau Henri IV 2",823736,26346
