 Cannes 2 ;  11-13 avenue St Louis 06400 CANNES 
 Gap ;  Foyer des Jeunes Travailleurs 73 bd Georges Pompidou 05000 GAP 
 Echiquier Nicois 2 ;  Maison des Associations 9 rue Ernest Lairolle 06100 NICE 
 Le Cannet ;  Maison des Associations zac des Mimosas bd de la Republique 06110 LE CANNET  
 Monaco 2 ;  5 rue des Oliviers 98000 MONACO 
 Marseille Echecs 2 ;  7 rue Papety 13007 MARSEILLE 
 Frejus ;  Maison des Associations avenue de Verdun 83600 FREJUS 
 Cagnes sur Mer ;  Centre Commercial 2.domaine du Loup entre la Gare Sncf de Cagnes et l'Entree Autoroute Vers A 06800 CAGNES SUR MER 
 Grasse 2 ;  Ecole Pra d'Estang quartier St Claude chemin des Capucins 06130 GRASSE 
 La Farlede Toulon ;  Maisons des Associations toulon Ou salle Polyvalente - la Farlede 
